         220134140 function calls (207474231 primitive calls) in 485.391 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   389880    0.248    0.000    0.248    0.000 {method '__reduce_ex__' of 'object' objects}
      996    0.009    0.000    0.245    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\parser.py:41(parse)
   221112    0.126    0.000    0.240    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\os.py:746(encodekey)
       15    0.000    0.000    0.231    0.015 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\algorithm_interface\algorithm_interface.py:214(reroute_train)
     1992    0.005    0.000    0.231    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\genericpath.py:16(exists)
     2002    0.227    0.000    0.227    0.000 {built-in method nt.stat}
      996    0.004    0.000    0.227    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\poolmanager.py:279(connection_from_url)
45147/45056    0.178    0.000    0.224    0.000 C:\Program Files\JetBrains\PyCharm 2020.3.2\plugins\python\helpers\pydev\_pydev_bundle\pydev_import_hook.py:16(do_import)
  1632490    0.218    0.000    0.218    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\scipy\sparse\base.py:80(get_shape)
  1923578    0.201    0.000    0.201    0.000 {method 'isupper' of 'str' objects}
  1159345    0.189    0.000    0.189    0.000 {method 'items' of 'dict' objects}
      996    0.002    0.000    0.189    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\client.py:1252(request)
      996    0.017    0.000    0.187    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\client.py:1257(_send_request)
     3757    0.009    0.000    0.180    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\response.py:688(_update_chunk_length)
      996    0.003    0.000    0.176    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:173(feed)
     1992    0.004    0.000    0.160    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:178(_call_parse)
      996    0.012    0.000    0.160    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\adapters.py:255(build_response)
   942849    0.157    0.000    0.157    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\networkx\classes\reportviews.py:701(<lambda>)
     1992    0.024    0.000    0.156    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:218(_parsegen)
   364488    0.148    0.000    0.148    0.000 {method '__reduce_ex__' of 'datetime.datetime' objects}
     7364    0.004    0.000    0.148    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\converter_helpers.py:51(parse_to_timedelta_or_none)
   158732    0.082    0.000    0.147    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\converter_helpers.py:13(_translate_id)
   898705    0.140    0.000    0.140    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\aidm\aidm_base_classes.py:10(id)
        4    0.048    0.012    0.140    0.035 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:555(remove_nodes_edges_of_train)
       15    0.001    0.000    0.130    0.009 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:1486(try_to_reroute_train_via_different_nodes)
       10    0.071    0.007    0.127    0.013 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:804(distance_travelled_all_trains)
   766284    0.123    0.000    0.123    0.000 {method 'keys' of 'dict' objects}
     9960    0.038    0.000    0.118    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:369(urlparse)
     6972    0.020    0.000    0.110    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\sessions.py:49(merge_setting)
        6    0.090    0.015    0.108    0.018 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:1046(transfer_edges_single_train)
