fromZone, toZone,distance
13,26112,21207.583
14,1,13775.361
14,2,8692.039
14,3,1763.925
14,5,6155.751
14,13,8666.342
14,14,1578
14,21,60650.09
14,23,61841.418
14,24,58974.002
14,26,58496.983
14,28,61470.654
14,30,57288.402
14,31,56326.062
14,32,56853.401
14,33,58622.427
14,37,61997.176
14,39,61066.437
14,43,60724.548
14,51,40124.794
14,52,31102.587
14,53,38075.539
14,54,29012.243
14,55,43987.088
14,56,38061.613
14,57,45575.921
14,58,43896.164
14,59,41167.371
14,60,41758.445
14,61,50026.401
14,62,27956.529
14,63,32596.41
14,64,35135.924
14,65,34839.59
14,66,25108.928
14,67,48741.471
14,68,37697.795
14,69,26655.698
14,70,49308.343
14,71,49041.508
14,72,34822.998
14,81,41156.48
14,82,36161.935
14,83,33644.216
14,84,33411.506
14,85,36003.946
14,86,35281.911
14,87,37153.829
14,88,37270.262
14,89,33624.97
14,90,32108.368
14,91,41785.49
14,92,31149.928
14,93,39356.044
14,94,37287.214
14,95,37042.077
14,96,30302.555
14,97,28600.642
14,98,39594.913
14,99,39392.277
14,100,42886.247
14,101,36576.036
14,102,49872.715
14,111,53980.16
14,112,52319.232
14,113,57228.17
14,115,50322.987
14,116,51236.928
14,117,50378.152
14,119,42987.22
14,121,46569.827
14,131,27602.363
14,133,27593.003
14,135,16041.779
14,136,30928.748
14,137,23421.291
14,139,17923.256
14,141,26389.419
14,151,28213.421
14,152,31313.862
14,153,57497.859
14,154,26496.551
14,156,34543.394
14,157,52336.747
14,160,30188.947
14,161,24296.381
14,171,68901.839
14,172,43401.273
14,173,50026.367
14,174,35908.707
14,175,50416.071
14,176,39538.17
14,177,48478.458
14,178,48252.284
14,180,45928.955
14,181,71228.913
14,182,53609.261
14,191,26993.333
14,192,37538.189
14,193,24729.998
14,194,37707.694
14,195,28878.806
14,196,48737.073
14,197,34274.706
14,198,39646.799
14,199,36879.764
14,200,28918.181
14,211,58532.833
14,212,55490.853
14,213,45630.981
14,214,53043.471
14,215,54345.532
14,216,53398.104
14,217,55170.9
14,218,55000.846
14,219,49466.495
14,220,67560.95
14,221,52368.63
14,222,59153.354
14,223,50634.328
14,224,47797.19
14,225,49352.058
14,226,57005.412
14,227,49524.351
14,228,62459.022
14,229,47402.448
14,231,58095.03
14,241,10997.998
14,242,6355.203
14,243,21225.578
14,244,21498.425
14,245,15807.338
14,246,24585.743
14,247,17725.02
14,248,4687.086
14,249,17019.311
14,250,10068.666
14,251,18482.975
14,2933,55023.767
14,2938,56636.326
14,4021,33878.15
14,4022,16516.963
14,4023,22502.364
14,4024,39458.019
14,4026,35809.39
14,4027,34676.53
14,4028,41449.009
14,4029,40717.546
14,4030,26582.438
14,4031,21820.712
14,4033,32041.36
14,4034,29178.836
14,4035,34714.028
14,4036,40117.249
14,4037,23781.442
14,4038,36429.284
14,4039,18840.644
14,4040,27990.276
14,4041,35752.3
14,4042,37932.518
14,4043,40265.474
14,4044,39650.182
14,4045,31689.198
14,4046,34450.367
14,4048,40092.037
14,4061,12773.444
14,4062,12414.057
14,4066,19504.204
14,4067,25547.553
14,4072,28343.407
14,4074,9305.482
14,4075,23203.106
14,4077,30723.317
14,4081,13388.396
14,4083,17370.693
14,4084,4275.513
14,4093,48651.616
14,4107,47292.013
14,4123,44298.003
14,4301,66854.5
14,4302,65151.049
14,4305,48868.83
14,4306,55379.111
14,4308,52778.838
14,4312,45046.826
14,4314,58875.469
14,4315,60771.407
14,4317,56649.081
14,4318,42583.902
14,4319,48316.274
14,4321,50492.457
14,4322,50404.682
14,4571,53730.573
14,4601,69084.246
14,23001,45506.589
14,23002,46498.521
14,23003,48324.003
14,23004,50360.898
14,26101,16895.914
14,26102,7537.49
14,26103,7205
14,26104,14905.241
14,26105,18022.93
14,26106,18973.245
14,26107,21554.566
14,26108,21980.772
14,26109,7390.717
14,26110,17631.628
14,26111,21518.726
14,26112,26851.945
21,1,70055.735
21,2,69335.001
21,3,62536.386
21,5,66542.241
21,13,60395.764
21,14,60650.09
21,21,1689
21,23,24347.036
21,24,27130.127
21,26,9279.5
21,28,16106.649
21,30,1689
21,31,5845
21,32,7610
21,33,2464
21,37,9036.161
21,39,5242
21,43,11562.5
21,51,39570.192
21,52,38253.025
21,53,34783.842
21,54,32636.446
21,55,35615.65
21,56,37668.647
21,57,35968.798
21,58,41698.071
21,59,35984.624
21,60,36617.464
21,61,37850.778
21,62,35398.708
21,63,41189.659
21,64,34297.794
21,65,43401.529
21,66,38366.55
21,67,30169.174
21,68,41024.922
21,69,39258.816
21,70,37726.02
21,71,36901.17
21,72,43301.542
21,81,56138.359
21,82,53117.567
21,83,50543.12
21,84,50391.669
21,85,53023.364
21,86,53960.034
21,87,54204.348
21,88,51381.47
21,89,44939.214
21,90,48358.382
21,91,60668.952
21,92,44126.573
21,93,58179.328
21,94,54224.63
21,95,55768.591
21,96,47072.848
21,97,41474.691
21,98,60518.737
21,99,58171.76
21,100,49042.42
21,101,55298.381
21,102,48788.182
21,111,60265.919
21,112,71883.258
21,113,67674.475
21,115,56971.883
21,116,57113.161
21,117,67859.65
21,119,62351.208
21,121,52161.917
21,131,54403.634
21,133,61760.013
21,135,54125.395
21,136,58044.985
21,137,59864.383
21,139,56127.954
21,141,56497.812
21,151,54332.955
21,152,57582.005
21,153,77516.078
21,154,52607.35
21,156,56783.61
21,157,66960.067
21,160,54406.11
21,161,50424.521
21,171,42674.617
21,172,36269.376
21,173,41385.972
21,174,24136
21,175,24453.842
21,176,29059.173
21,177,38571.116
21,178,39299.19
21,180,30742.094
21,181,35475.784
21,182,43044.312
