((633, '2005-05-10T07:24:00', 2087470, 'a'), (606, '2005-05-10T07:28:12', 9813543, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (606, '2005-05-10T07:30:12', 624466, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (606, '2005-05-10T07:32:00', 8599093, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (606, '2005-05-10T07:37:06', 11435958, 'd'))
((633, '2005-05-10T07:24:00', 2087470, 'a'), (13, '2005-05-10T07:38:00', 10858289, 'd'))
((308, '2005-05-10T07:08:12', 2162818, 'a'), (308, '2005-05-10T07:15:54', 860710, 'd'))
((308, '2005-05-10T07:08:12', 2162818, 'a'), (308, '2005-05-10T07:18:18', 11795226, 'd'))
((308, '2005-05-10T07:08:12', 2162818, 'a'), (308, '2005-05-10T07:13:54', 2447357, 'd'))
((456, '2005-05-10T06:02:00', 2242133, 'a'), (456, '2005-05-10T06:02:30', 2242133, 'd'))
((542, '2005-05-10T06:06:30', 2242496, 'a'), (542, '2005-05-10T06:07:00', 2242496, 'd'))
((520, '2005-05-10T06:09:30', 2242859, 'a'), (520, '2005-05-10T06:10:00', 2242859, 'd'))
((520, '2005-05-10T06:09:30', 2242859, 'a'), (520, '2005-05-10T06:14:30', 208408, 'd'))
((520, '2005-05-10T06:09:30', 2242859, 'a'), (520, '2005-05-10T06:14:06', 9636639, 'd'))
((498, '2005-05-10T06:14:30', 2243222, 'a'), (498, '2005-05-10T06:28:18', 1078384, 'd'))
